HouseID,SquareFeet,Bedrooms,Bathrooms,YearBuilt,GarageCars,Neighborhood,SalePrice
H-604,2591,2,2.5,1961,3,Downtown,597900.0
H-605,982,3,2.5,1983,1,Downtown,376700.0
H-606,1428,3,1.5,1993,3,Westside,442400.0
H-607,3357,3,3.0,1986,2,Westside,714900.0
H-608,2531,2,2.0,2014,2,Downtown,621500.0
H-609,1345,3,1.5,2000,3,Westside,433700.0
H-610,2387,3,1.0,1960,1,Suburbs,468200.0
H-611,1423,3,2.0,1967,3,Eastside,386800.0
H-612,1393,3,2.0,1982,1,Eastside,354000.0
H-613,1543,3,2.5,1997,1,Eastside,390600.0
H-614,4098,4,3.0,1965,1,Suburbs,762000.0
H-615,2568,2,1.0,1981,2,Westside,535500.0
H-616,2259,4,2.5,1984,1,Northhills,548100.0
H-617,2748,3,1.5,1977,2,Westside,604100.0
H-618,3401,2,3.0,1976,2,Downtown,721900.0
H-619,2868,2,2.5,2020,2,Eastside,645700.0
H-620,3401,3,2.0,1971,2,Westside,716200.0
H-621,3244,4,2.5,1965,2,Northhills,670500.0
H-622,3472,3,2.0,1985,1,Downtown,726500.0
H-623,904,4,2.0,1986,1,Suburbs,302600.0
H-624,3039,3,2.5,1967,1,Suburbs,630700.0
H-625,816,3,2.0,1978,0,Northhills,273200.0
H-626,3991,2,2.0,2019,1,Downtown,813800.0
H-627,1192,3,2.0,2001,1,Eastside,350100.0
H-628,1224,3,2.5,1960,3,Westside,370600.0
H-629,2976,2,2.0,2016,2,Downtown,689200.0
H-630,4001,2,1.5,1988,1,Suburbs,748000.0
H-631,1371,3,2.5,2004,2,Northhills,439800.0
H-632,2876,3,2.5,2008,1,Northhills,627500.0
H-633,1920,5,1.5,1994,2,Westside,556000.0
H-634,3881,4,1.5,1999,2,Northhills,802800.0
H-635,1041,3,1.5,1973,2,Northhills,379100.0
H-636,3079,3,2.0,1994,2,Downtown,677200.0
H-637,1588,3,2.0,2007,3,Eastside,468000.0
H-638,4155,4,2.5,2004,3,Westside,895000.0
H-639,1514,2,2.5,1979,2,Downtown,437000.0
H-640,1558,3,2.5,2015,2,Eastside,474100.0
H-641,3649,4,2.0,2008,2,Downtown,794600.0
H-642,1575,3,2.5,1972,1,Downtown,433400.0
H-643,3573,3,2.0,2020,1,Northhills,705000.0
H-644,3047,3,3.5,1997,0,Eastside,641400.0
H-645,3792,2,2.5,2008,2,Westside,776600.0
H-646,878,3,1.5,2005,2,Westside,356000.0
H-647,3803,3,2.5,2008,1,Eastside,739600.0
H-648,1655,1,2.0,2021,3,Northhills,480700.0
H-649,4044,1,2.5,1967,3,Suburbs,768400.0
H-650,3314,4,1.0,2002,2,Downtown,727100.0
H-651,3428,2,1.5,1979,2,Northhills,691500.0
H-652,2239,3,3.0,2019,3,Eastside,599400.0
H-653,3787,2,1.5,1992,1,Downtown,748000.0
H-654,3296,4,2.5,1985,2,Westside,713700.0
H-655,2934,2,2.0,1998,1,Suburbs,625400.0
H-656,2948,3,2.5,1980,2,Westside,668000.0
H-657,1831,4,2.5,2012,1,Eastside,497000.0
H-658,1644,4,2.0,2008,3,Downtown,510700.0
H-659,4071,2,2.0,2021,3,Eastside,824800.0
H-660,886,4,1.5,2001,1,Downtown,369300.0
H-661,2890,3,1.0,2002,2,Northhills,649200.0
H-662,1207,3,2.0,2013,3,Suburbs,412000.0
H-663,3511,2,2.5,2021,2,Northhills,736300.0
H-664,3888,2,3.0,2000,3,Northhills,825100.0
H-665,2468,3,3.0,1968,2,Eastside,499100.0
H-666,947,3,2.5,1983,1,Suburbs,314900.0
H-667,3124,3,2.5,1996,1,Downtown,676800.0
H-668,1031,3,2.5,2008,1,Downtown,387600.0
H-669,2750,4,2.0,2000,2,Westside,639500.0
H-670,1165,2,3.0,1976,1,Downtown,399400.0
H-671,4099,3,2.5,1983,2,Eastside,795300.0
H-672,2474,2,2.0,1980,2,Northhills,549000.0
H-673,1235,4,1.5,2010,2,Northhills,441100.0
H-674,1198,3,2.0,2018,3,Northhills,424400.0
H-675,2034,5,2.0,1998,3,Suburbs,528600.0
H-676,2214,2,3.0,2014,2,Downtown,606800.0
H-677,3346,2,2.0,2000,2,Eastside,681900.0
H-678,3387,2,2.0,1998,2,Suburbs,684800.0
H-679,1362,2,3.5,1972,2,Westside,401900.0
H-680,3289,2,1.5,1970,3,Eastside,656800.0
H-681,2084,4,2.0,2005,1,Eastside,479400.0
H-682,1572,2,1.0,1978,1,Eastside,347600.0
H-683,3197,2,2.5,1970,3,Northhills,673000.0
H-684,2837,4,3.0,1972,2,Eastside,634800.0
H-685,3367,3,2.0,2022,2,Downtown,770400.0
H-686,2143,4,3.0,2005,3,Eastside,568900.0
H-687,2985,2,2.0,2004,0,Northhills,617100.0
H-688,2373,3,3.0,1960,3,Eastside,537600.0
H-689,1791,1,2.5,1999,2,Westside,485100.0
H-690,3215,2,2.5,2003,2,Westside,682900.0
H-691,4091,4,1.0,1978,2,Northhills,802700.0
H-692,2046,2,3.5,1971,3,Downtown,556400.0
H-693,1159,3,2.5,1967,0,Downtown,369500.0
H-694,1720,3,2.0,1967,2,Suburbs,425300.0
H-695,3176,3,2.5,2020,2,Northhills,709200.0
H-696,3809,4,2.0,2012,2,Eastside,744100.0
H-697,3310,1,3.0,2004,2,Northhills,711100.0
H-698,3793,3,1.5,1971,1,Suburbs,722400.0
H-699,1762,5,2.5,2020,1,Northhills,542400.0
